Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;PrÅfziffer-berechnungs-methode;Datensatz-nummer;énderungs-kennzeichen;Bankleitzahl-lîschung;Nachfolge-Bankleitzahl
10000000;1;Bundesbank;10591;Berlin;BBk Berlin;20100;MARKDEF1100;09;011380;U;0;00000000
10010010;1;Postbank;10916;Berlin;Postbank Berlin;10010;PBNKDEFFXXX;24;000538;U;0;00000000
10010111;1;SEB;10789;Berlin;SEB Berlin;25805;ESSEDE5F100;13;005361;U;0;00000000
10010424;1;Aareal Bank;10666;Berlin;Aareal Bank;26910;AARBDE5W100;09;004795;U;0;00000000
10011001;1;N26 Bank;10179;Berlin;N26 Bank Berlin;;NTSBDEB1XXX;09;056796;U;0;00000000
10019610;1;Dexia Kommunalbank Deutschland;10969;Berlin;Dexia Berlin;;DXIADEBBXXX;09;055273;U;0;00000000
10020200;1;BHF-BANK;10117;Berlin;BHF-BANK Berlin;25155;BHFBDEFF100;60;004794;U;0;00000000
10020500;1;Bank fÅr Sozialwirtschaft;10178;Berlin;Bank fÅr Sozialwirtschaft;25013;BFSWDE33BER;09;000530;U;0;00000000
10020510;1;Bank fÅr Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33BER;09;056659;U;0;00000000
10020520;1;Bank fÅr Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33BER;09;056662;U;0;00000000
10020890;1;UniCredit Bank - HypoVereinsbank;10896;Berlin;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;039785;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;14532;Kleinmachnow;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049352;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;16515;Oranienburg;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049745;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;14776;Brandenburg an der Havel;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049746;U;0;00000000
10020890;2;UniCredit Bank - HypoVereinsbank;15711;Kînigs Wusterhausen;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049747;U;0;00000000
10030200;1;Berlin Hyp;10787;Berlin;Berlin Hyp;26706;BHYPDEB2XXX;09;037413;U;0;00000000
